,,,,,,,,,,,,,,,,,,,,,,,,,,
,TABLE 3. MATERNAL AND NEWBORN HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Countries and areas,"Life expectancy at birth (years): female
2021",,"Universal health coverage
2019",,"Demand for family planning satisfied with modern methods (%) 
2016–2021 (R)",,"Antenatal care (%)
2016–2021 (R)",,,,"Delivery care (%)
2016–2021 (R)",,,,,,"Postnatal health check (%)
2016–2021 (R)",,,,"Maternal mortality
2020 (C)",,,,
,,,,"Service Coverage sub-index on reproductive, maternal, newborn and child health",,,,At least one visit,,At least four visits,,Skilled birth attendant,,Institutional delivery,,C-section,,For newborns,,For mothers,,Number of maternal deaths,,Maternal mortality ratio,,Lifetime risk of maternal death (1 in X)
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,65,,37,,42,,65,,28,,62,,63,,7,,19,,37,,"8,700",,620,,32
,Albania,79,,62,,6,,88,,78,,100,,99,,31,,86,,88,,2,,8,,"8,700"
,Algeria,78,,75,,77,x,95,,70,,99,,99,,25,,92,,88,,760,,78,,410
,Andorra,84,,-,,-,,-,,-,,100,,-,,-,,-,,-,,-,,-,,-
,Angola,64,,39,,30,,82,,61,,50,,46,,4,,21,,23,,"2,900",,222,,79
,Anguilla,80,,-,,-,,-,,-,,100,,-,,-,,-,,-,,-,,-,,-
,Antigua and Barbuda,81,,72,,-,,100,x,100,x,99,,-,,-,,-,,-,,0,,21,,"2,700"
,Argentina,79,,73,,-,,95,,90,,99,,100,,47,,98,,97,,290,,45,,"1,100"
,Armenia,77,,69,,40,,100,,96,,100,,99,,18,,98,,97,,10,,27,,"2,100"
,Australia,86,,87,,-,,98,x,92,x,99,,99,x,31,x,-,,-,,9,,3,,"19,000"
,Austria,84,,82,,-,,-,,-,,98,,99,x,24,x,-,,-,,4,,5,,"14,000"
,Azerbaijan,73,,65,,22,x,92,x,96,x,100,,96,x,26,x,-,,83,x,54,,41,,"1,400"
,Bahamas,75,,70,,-,,98,x,85,x,99,,-,,-,,-,,-,,4,,77,,940
,Bahrain,80,,71,,-,,100,x,100,x,100,,98,x,-,,-,,-,,3,,16,,"3,000"
,Bangladesh,74,,51,,77,,75,,37,,59,,53,,36,,67,,65,,"3,700",,123,,390
,Barbados,79,,74,,70,x,93,x,88,x,98,,100,x,21,x,98,x,97,x,1,,39,,"1,900"
,Belarus,78,,74,,73,x,100,,100,,100,,100,,31,,100,,99,,1,,1,,"65,000"
,Belgium,84,,85,,-,,-,,-,,-,,-,,18,x,-,,-,,5,,5,,"12,000"
,Belize,74,,67,,65,,97,,93,,95,,96,,34,,96,,96,,9,,130,,380
,Benin,61,,38,,28,,83,,52,,78,,84,,5,,64,,66,,"2,500",,523,,36
,Bhutan,74,,62,,85,x,98,x,85,x,96,,94,,12,x,30,x,41,x,6,,60,,970
,Bolivia (Plurinational State of),67,,67,,50,,96,,86,,81,,80,,33,,-,,56,,420,,161,,230
,Bosnia and Herzegovina,78,,65,,22,x,87,x,84,x,100,,100,x,14,x,-,,-,,2,,6,,"13,000"
,Botswana,64,,54,,-,,94,x,73,x,100,,100,x,-,,-,,-,,120,,186,,180
,Brazil,76,,75,,89,x,97,x,93,,99,,99,,56,,-,,-,,"2,000",,72,,800
,British Virgin Islands,78,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
,Brunei Darussalam,77,,77,,-,,99,x,93,x,100,,100,x,-,,-,,-,,3,,44,,"1,300"
,Bulgaria,76,,70,,-,,-,,-,,100,x,100,,47,,-,,-,,4,,7,,"10,000"
,Burkina Faso,61,,43,,53,,93,x,47,x,80,x,82,x,4,x,33,x,74,x,"2,000",,264,,77
,Burundi,64,,44,,40,,99,,49,,85,,84,,4,x,49,,51,,"2,200",,494,,38
,Cabo Verde,79,,69,,73,x,99,,86,,97,,97,,11,x,-,,87,,4,,42,,"1,100"
,Cambodia,72,,61,,57,x,95,x,76,x,89,x,83,x,6,x,79,x,90,x,710,,218,,170
